pert_id,Carcinogenicity
Chem120_32,+
Chem120_33,+
Chem120_34,+
Chem120_35,+
Chem120_36,+
Chem120_37,+
Chem120_38,+
Chem120_39,+
Chem120_4,+
Chem120_40,+
Chem120_41,+
Chem120_42,+
Chem120_43,+
Chem120_44,+
Chem120_45,+
Chem120_46,+
Chem120_47,+
Chem120_48,+
Chem120_49,+
Chem120_5,+
Chem120_50,+
Chem120_51,+
Chem120_6,+
Chem120_7,+
Chem120_8,+
Chem120_9,+
Chem121_0,+
Chem121_1,+
Chem121_10,+
Chem121_11,+
Chem121_12,+
Chem121_13,+
Chem121_14,+
Chem121_15,+
Chem121_16,+
Chem121_17,+
Chem121_18,+
Chem121_19,+
Chem121_2,+
Chem121_20,+
Chem121_21,+
Chem121_22,+
Chem121_23,+
Chem121_24,+
Chem121_25,+
Chem121_26,+
Chem121_27,+
Chem121_28,+
Chem121_29,+
Chem121_3,+
Chem121_30,+
Chem121_31,+
Chem121_32,+
Chem121_33,+
Chem121_34,+
Chem121_35,+
Chem121_36,+
Chem121_37,+
Chem121_38,+
Chem121_39,+
Chem121_4,+
Chem121_40,+
Chem121_41,+
Chem121_42,+
Chem121_43,+
Chem121_44,+
Chem121_45,+
Chem121_46,+
Chem121_47,+
Chem121_48,+
Chem121_49,+
Chem121_5,+
Chem121_50,+
Chem121_51,+
Chem121_52,+
Chem121_53,+
Chem121_54,+
Chem121_55,+
Chem121_6,+
Chem121_7,+
Chem121_8,+
Chem121_9,+
Chem122_0,+
Chem122_1,+
Chem122_10,+
Chem122_11,+
Chem122_12,+
Chem122_13,+
Chem122_14,+
Chem122_15,+
Chem122_16,+
Chem122_17,+
Chem122_18,+
Chem122_19,+
Chem122_2,+
Chem122_20,+
Chem122_21,+
Chem122_22,+
Chem122_23,+
Chem122_24,+
Chem122_25,+
Chem122_26,+
Chem122_27,+
Chem122_28,+
Chem122_29,+
Chem122_3,+
Chem122_30,+
Chem122_31,+
Chem122_32,+
Chem122_33,+
Chem122_34,+
Chem122_35,+
Chem122_36,+
Chem122_37,+
Chem122_38,+
Chem122_39,+
Chem122_4,+
Chem122_40,+
Chem122_41,+
Chem122_42,+
Chem122_43,+
Chem122_44,+
Chem122_45,+
Chem122_46,+
Chem122_47,+
Chem122_48,+
Chem122_49,+
Chem122_5,+
Chem122_50,+
Chem122_51,+
Chem122_52,+
Chem122_53,+
Chem122_54,+
Chem122_55,+
Chem122_56,+
Chem122_57,+
Chem122_58,+
Chem122_59,+
Chem122_6,+
Chem122_7,+
Chem122_8,+
Chem122_9,+
Chem123_0,+
Chem123_1,+
Chem123_10,+
Chem123_11,+
Chem123_12,+
Chem123_13,+
Chem123_14,+
Chem123_15,+
Chem123_16,+
Chem123_17,+
Chem123_18,+
Chem123_19,+
Chem123_2,+
Chem123_3,+
Chem123_4,+
Chem123_5,+
Chem123_6,+
Chem123_7,+
Chem123_8,+
Chem123_9,+
Chem124_0,-
Chem124_1,-
Chem124_10,-
Chem124_11,-
Chem124_12,-
Chem124_13,-
Chem124_14,-
Chem124_15,-
Chem124_16,-
Chem124_17,-
Chem124_18,-
Chem124_19,-
Chem124_2,-
Chem124_20,-
Chem124_21,-
Chem124_22,-
Chem124_23,-
Chem124_24,-
Chem124_25,-
Chem124_26,-
Chem124_27,-
Chem124_28,-
Chem124_29,-
Chem124_3,-
Chem124_30,-
Chem124_31,-
Chem124_32,-
Chem124_33,-
Chem124_34,-
Chem124_35,-
Chem124_36,-
Chem124_37,-
Chem124_38,-
Chem124_39,-
Chem124_4,-
Chem124_40,-
Chem124_41,-
Chem124_42,-
Chem124_43,-
Chem124_44,-
Chem124_45,-
Chem124_46,-
Chem124_47,-
Chem124_48,-
Chem124_49,-
Chem124_5,-
Chem124_50,-
Chem124_6,-
Chem124_7,-
Chem124_8,-
Chem124_9,-
Chem125_0,-
Chem125_1,-
Chem125_10,-
Chem125_11,-
Chem125_12,-
Chem125_13,-
Chem125_14,-
Chem125_15,-
Chem125_16,-
Chem125_17,-
Chem125_18,-
Chem125_19,-
Chem125_2,-
Chem125_20,-
Chem125_21,-
Chem125_22,-
Chem125_23,-
Chem125_24,-
Chem125_25,-
Chem125_26,-
Chem125_27,-
Chem125_3,-
Chem125_4,-
Chem125_5,-
Chem125_6,-
Chem125_7,-
Chem125_8,-
Chem125_9,-
Chem126_0,+
Chem126_1,+
Chem126_10,+
Chem126_11,+
Chem126_12,+
Chem126_13,+
Chem126_14,+
Chem126_15,+
Chem126_16,+
Chem126_17,+
Chem126_2,+
Chem126_3,+
Chem126_4,+
Chem126_5,+
Chem126_6,+
Chem126_7,+
Chem126_8,+
Chem126_9,+
Chem127_0,-
Chem127_1,-
Chem127_10,-
Chem127_11,-
Chem127_12,-
Chem127_13,-
Chem127_14,-
Chem127_15,-
Chem127_16,-
Chem127_17,-
Chem127_18,-
Chem127_19,-
Chem127_2,-
Chem127_3,-
Chem127_4,-
Chem127_5,-
Chem127_6,-
Chem127_7,-
Chem127_8,-
Chem127_9,-
Chem128_0,+
Chem128_1,+
Chem128_10,+
Chem128_11,+
Chem128_12,+
Chem128_13,+
Chem128_14,+
Chem128_15,+
Chem128_16,+
Chem128_17,+
Chem128_18,+
Chem128_19,+
Chem128_2,+
Chem128_20,+
Chem128_21,+
Chem128_22,+
Chem128_23,+
Chem128_24,+
Chem128_25,+
Chem128_26,+
Chem128_27,+
Chem128_28,+
Chem128_29,+
Chem128_3,+
Chem128_30,+
Chem128_31,+
Chem128_32,+
Chem128_33,+
Chem128_34,+
Chem128_35,+
Chem128_36,+
Chem128_37,+
Chem128_38,+
Chem128_39,+
Chem128_4,+
Chem128_40,+
Chem128_41,+
Chem128_42,+
Chem128_5,+
Chem128_6,+
Chem128_7,+
Chem128_8,+
Chem128_9,+
Chem129_0,+
Chem129_1,+
Chem129_10,+
Chem129_11,+
Chem129_12,+
Chem129_13,+
Chem129_14,+
Chem129_15,+
Chem129_16,+
Chem129_17,+
Chem129_18,+
Chem129_19,+
Chem129_2,+
Chem129_20,+
Chem129_21,+
Chem129_22,+
Chem129_23,+
Chem129_24,+
Chem129_25,+
Chem129_26,+
Chem129_27,+
Chem129_28,+
Chem129_29,+
Chem129_3,+
Chem129_30,+
Chem129_4,+
Chem129_5,+
Chem129_6,+
Chem129_7,+
Chem129_8,+
Chem129_9,+
Chem12_0,-
Chem12_1,-
Chem12_2,-
Chem12_3,-
Chem130_0,-
Chem130_1,-
Chem130_2,-
Chem130_3,-
Chem130_4,-
Chem130_5,-
Chem130_6,-
Chem130_7,-
Chem131_0,+
Chem131_1,+
Chem131_2,+
Chem131_3,+
Chem131_4,+
Chem132_0,-
Chem132_1,-
Chem132_2,-
Chem132_3,-
Chem132_4,-
Chem133_0,+
Chem133_1,+
Chem133_10,+
Chem133_11,+
Chem133_2,+
Chem133_3,+
Chem133_4,+
Chem133_5,+
Chem133_6,+
Chem133_7,+
Chem133_8,+
Chem133_9,+
Chem134_0,-
Chem134_1,-
Chem134_10,-
Chem134_11,-
Chem134_12,-
Chem134_13,-
Chem134_14,-
Chem134_15,-
Chem134_16,-
Chem134_2,-
Chem134_3,-
Chem134_4,-
Chem134_5,-
Chem134_6,-
Chem134_7,-
Chem134_8,-
Chem134_9,-
Chem135_0,-
Chem135_1,-
Chem135_10,-
Chem135_11,-
Chem135_2,-
Chem135_3,-
Chem135_4,-
Chem135_5,-
Chem135_6,-
Chem135_7,-
Chem135_8,-
Chem135_9,-
Chem136_0,-
Chem136_1,-
Chem136_10,-
Chem136_11,-
Chem136_12,-
Chem136_2,-
Chem136_3,-
Chem136_4,-
Chem136_5,-
Chem136_6,-
Chem136_7,-
Chem136_8,-
Chem136_9,-
Chem137_0,+
Chem137_1,+
Chem137_2,+
Chem137_3,+
Chem137_4,+
Chem137_5,+
Chem137_6,+
Chem137_7,+
Chem137_8,+
Chem137_9,+
Chem138_0,+
Chem138_1,+
Chem138_10,+
Chem138_11,+
Chem138_12,+
Chem138_2,+
Chem138_3,+
Chem138_4,+
Chem138_5,+
Chem138_6,+
Chem138_7,+
Chem138_8,+
Chem138_9,+
Chem139_0,-
Chem139_1,-
Chem139_10,-
Chem139_11,-
Chem139_12,-
Chem139_13,-
Chem139_14,-
Chem139_15,-
Chem139_2,-
Chem139_3,-
Chem139_4,-
Chem139_5,-
Chem139_6,-
Chem139_7,-
Chem139_8,-
Chem139_9,-
Chem13_0,-
Chem13_1,-
Chem13_2,-
Chem13_3,-
Chem13_4,-
Chem13_5,-
Chem13_6,-
Chem13_7,-
Chem13_8,-
Chem140_0,-
Chem140_1,-
Chem140_10,-
Chem140_11,-
Chem140_12,-
Chem140_13,-
Chem140_14,-
Chem140_15,-
Chem140_16,-
Chem140_17,-
Chem140_18,-
Chem140_2,-
Chem140_3,-
Chem140_4,-
Chem140_5,-
Chem140_6,-
Chem140_7,-
Chem140_8,-
Chem140_9,-
Chem141_0,-
Chem141_1,-
Chem141_10,-
Chem141_2,-
Chem141_3,-
Chem141_4,-
Chem141_5,-
Chem141_6,-
Chem141_7,-
Chem141_8,-
Chem141_9,-
Chem142_0,-
Chem142_1,-
Chem142_2,-
Chem142_3,-
Chem142_4,-
Chem142_5,-
Chem142_6,-
Chem142_7,-
Chem143_0,+
Chem143_1,+
Chem143_2,+
Chem143_3,+
Chem143_4,+
Chem143_5,+
Chem144_0,-
Chem144_1,-
Chem144_2,-
Chem144_3,-
Chem144_4,-
Chem144_5,-
Chem145_0,+
Chem145_1,+
Chem145_10,+
Chem145_11,+
Chem145_12,+
Chem145_2,+
Chem145_3,+
Chem145_4,+
Chem145_5,+
Chem145_6,+
Chem145_7,+
Chem145_8,+
Chem145_9,+
Chem146_0,-
Chem146_1,-
Chem146_10,-
Chem146_11,-
Chem146_12,-
Chem146_13,-
Chem146_2,-
Chem146_3,-
Chem146_4,-
Chem146_5,-
Chem146_6,-
Chem146_7,-
Chem146_8,-
Chem146_9,-
Chem147_0,-
Chem147_1,-
Chem147_10,-
Chem147_11,-
Chem147_12,-
Chem147_13,-
Chem147_14,-
Chem147_15,-
Chem147_16,-
Chem147_17,-
Chem147_18,-
Chem147_19,-
Chem147_2,-
Chem147_20,-
Chem147_21,-
Chem147_22,-
Chem147_23,-
Chem147_24,-
Chem147_25,-
Chem147_26,-
Chem147_27,-
Chem147_28,-
Chem147_3,-
Chem147_4,-
Chem147_5,-
Chem147_6,-
Chem147_7,-
Chem147_8,-
Chem147_9,-
Chem148_0,-
Chem148_1,-
Chem148_10,-
Chem148_11,-
Chem148_12,-
Chem148_13,-
Chem148_14,-
Chem148_15,-
Chem148_16,-
Chem148_17,-
Chem148_18,-
Chem148_19,-
Chem148_2,-
Chem148_20,-
Chem148_21,-
Chem148_22,-
Chem148_23,-
Chem148_24,-
Chem148_25,-
Chem148_26,-
Chem148_27,-
Chem148_28,-
Chem148_29,-
Chem148_3,-
Chem148_30,-
Chem148_31,-
Chem148_32,-
Chem148_33,-
Chem148_34,-
Chem148_35,-
Chem148_36,-
Chem148_37,-
Chem148_38,-
Chem148_39,-
Chem148_4,-
Chem148_40,-
Chem148_41,-
Chem148_42,-
Chem148_43,-
Chem148_44,-
Chem148_5,-
Chem148_6,-
Chem148_7,-
Chem148_8,-
Chem148_9,-
Chem149_0,-
Chem149_1,-
Chem149_2,-
Chem149_3,-
Chem149_4,-
Chem149_5,-
Chem149_6,-
Chem149_7,-
Chem14_0,-
Chem14_1,-
Chem14_2,-
Chem14_3,-
Chem14_4,-
Chem150_0,+
Chem150_1,+
Chem150_10,+
Chem150_11,+
Chem150_12,+
Chem150_13,+
Chem150_14,+
Chem150_15,+
Chem150_16,+
Chem150_17,+
Chem150_2,+
Chem150_3,+
Chem150_4,+
Chem150_5,+
Chem150_6,+
Chem150_7,+
Chem150_8,+
Chem150_9,+
Chem151_0,+
Chem151_1,+
Chem151_10,+
Chem151_11,+
Chem151_12,+
Chem151_13,+
Chem151_14,+
Chem151_15,+
Chem151_2,+
Chem151_3,+
Chem151_4,+
Chem151_5,+
Chem151_6,+
Chem151_7,+
Chem151_8,+
Chem151_9,+
Chem152_0,+
Chem152_1,+
Chem152_10,+
Chem152_11,+
Chem152_12,+
Chem152_13,+
Chem152_14,+
Chem152_2,+
Chem152_3,+
Chem152_4,+
Chem152_5,+
Chem152_6,+
Chem152_7,+
Chem152_8,+
Chem152_9,+
Chem153_0,+
Chem153_1,+
Chem153_2,+
Chem153_3,+
Chem153_4,+
Chem153_5,+
Chem153_6,+
Chem153_7,+
Chem153_8,+
Chem153_9,+
Chem154_0,-
Chem154_1,-
Chem154_10,-
Chem154_11,-
Chem154_2,-
Chem154_3,-
Chem154_4,-
Chem154_5,-
Chem154_6,-
Chem154_7,-
Chem154_8,-
Chem154_9,-
Chem155_0,-
Chem155_1,-
Chem155_10,-
Chem155_11,-
Chem155_12,-
Chem155_13,-
Chem155_14,-
Chem155_15,-
Chem155_16,-
Chem155_17,-
Chem155_18,-
Chem155_19,-
Chem155_2,-
Chem155_20,-
Chem155_21,-
Chem155_22,-
Chem155_23,-
Chem155_24,-
Chem155_25,-
Chem155_26,-
Chem155_27,-
Chem155_28,-
Chem155_29,-
Chem155_3,-
Chem155_30,-
Chem155_31,-
Chem155_32,-
Chem155_33,-
Chem155_34,-
Chem155_35,-
Chem155_36,-
Chem155_37,-
Chem155_38,-
Chem155_39,-
Chem155_4,-
Chem155_5,-
Chem155_6,-
Chem155_7,-
Chem155_8,-
Chem155_9,-
Chem156_0,+
Chem156_1,+
Chem156_2,+
Chem156_3,+
Chem156_4,+
Chem156_5,+
Chem156_6,+
Chem156_7,+
Chem157_0,-
Chem157_1,-
Chem157_10,-
Chem157_11,-
Chem157_12,-
Chem157_13,-
Chem157_14,-
Chem157_15,-
Chem157_16,-
Chem157_17,-
Chem157_18,-
Chem157_19,-
Chem157_2,-
Chem157_20,-
Chem157_21,-
Chem157_22,-
Chem157_23,-
Chem157_24,-
Chem157_25,-
Chem157_3,-
Chem157_4,-
Chem157_5,-
Chem157_6,-
Chem157_7,-
Chem157_8,-
Chem157_9,-
Chem158_0,-
Chem158_1,-
Chem158_10,-
Chem158_11,-
Chem158_12,-
Chem158_13,-
Chem158_14,-
Chem158_15,-
Chem158_16,-
Chem158_17,-
Chem158_18,-
Chem158_19,-
Chem158_2,-
Chem158_20,-
Chem158_21,-
Chem158_22,-
Chem158_23,-
Chem158_24,-
Chem158_25,-
Chem158_26,-
Chem158_3,-
Chem158_4,-
Chem158_5,-
Chem158_6,-
Chem158_7,-
Chem158_8,-
Chem158_9,-
Chem159_0,-
Chem159_1,-
Chem159_10,-
Chem159_11,-
Chem159_12,-
Chem159_2,-
Chem159_3,-
Chem159_4,-
Chem159_5,-
Chem159_6,-
Chem159_7,-
Chem159_8,-
Chem159_9,-
Chem15_0,+
Chem15_1,+
Chem15_10,+
Chem15_11,+
Chem15_12,+
Chem15_13,+
Chem15_14,+
Chem15_15,+
Chem15_16,+
Chem15_17,+
Chem15_18,+
Chem15_19,+
Chem15_2,+
Chem15_20,+
Chem15_21,+
Chem15_22,+
Chem15_23,+
Chem15_3,+
Chem15_4,+
Chem15_5,+
Chem15_6,+
Chem15_7,+
Chem15_8,+
Chem15_9,+
Chem160_0,-
Chem160_1,-
Chem160_10,-
Chem160_11,-
Chem160_2,-
Chem160_3,-
Chem160_4,-
Chem160_5,-
Chem160_6,-
Chem160_7,-
Chem160_8,-
Chem160_9,-
Chem161_0,+
Chem161_1,+
Chem161_10,+
Chem161_11,+
Chem161_12,+
Chem161_13,+
Chem161_14,+
Chem161_15,+
Chem161_16,+
Chem161_17,+
Chem161_18,+
Chem161_2,+
Chem161_3,+
Chem161_4,+
Chem161_5,+
Chem161_6,+
Chem161_7,+
Chem161_8,+
Chem161_9,+
Chem162_0,-
Chem162_1,-
Chem162_10,-
Chem162_11,-
Chem162_12,-
Chem162_13,-
Chem162_14,-
Chem162_15,-
Chem162_16,-
Chem162_17,-
Chem162_18,-
Chem162_19,-
Chem162_2,-
Chem162_3,-
Chem162_4,-
Chem162_5,-
Chem162_6,-
Chem162_7,-
Chem162_8,-
Chem162_9,-
Chem163_0,-
Chem163_1,-
Chem163_10,-
Chem163_11,-
Chem163_12,-
Chem163_13,-
Chem163_14,-
Chem163_15,-
Chem163_16,-
Chem163_17,-
Chem163_2,-
Chem163_3,-
Chem163_4,-
Chem163_5,-
Chem163_6,-
Chem163_7,-
Chem163_8,-
Chem163_9,-
Chem164_0,+
Chem164_1,+
Chem164_10,+
Chem164_11,+
Chem164_12,+
Chem164_13,+
Chem164_14,+
Chem164_15,+
Chem164_16,+
Chem164_17,+
Chem164_18,+
Chem164_2,+
Chem164_3,+
Chem164_4,+
Chem164_5,+
Chem164_6,+
Chem164_7,+
Chem164_8,+
Chem164_9,+
Chem165_0,+
Chem165_1,+
Chem165_10,+
Chem165_11,+
Chem165_12,+
Chem165_13,+
Chem165_14,+
Chem165_15,+
Chem165_16,+
Chem165_17,+
Chem165_18,+
Chem165_2,+
Chem165_3,+
Chem165_4,+
Chem165_5,+
Chem165_6,+
Chem165_7,+
Chem165_8,+
Chem165_9,+
Chem166_0,-
Chem166_1,-
Chem166_10,-
Chem166_11,-
Chem166_12,-
Chem166_13,-
Chem166_14,-
Chem166_15,-
Chem166_16,-
Chem166_17,-
Chem166_18,-
Chem166_19,-
Chem166_2,-
Chem166_20,-
Chem166_21,-
Chem166_22,-
Chem166_23,-
Chem166_24,-
Chem166_25,-
Chem166_26,-
Chem166_27,-
Chem166_28,-
Chem166_29,-
Chem166_3,-
Chem166_4,-
Chem166_5,-
Chem166_6,-
Chem166_7,-
Chem166_8,-
Chem166_9,-
Chem167_0,+
Chem167_1,+
Chem167_10,+
Chem167_11,+
Chem167_12,+
Chem167_13,+
Chem167_14,+
Chem167_2,+
Chem167_3,+
Chem167_4,+
Chem167_5,+
Chem167_6,+
Chem167_7,+
Chem167_8,+
Chem167_9,+
Chem168_0,+
Chem168_1,+
Chem168_10,+
Chem168_2,+
Chem168_3,+
Chem168_4,+
Chem168_5,+
Chem168_6,+
Chem168_7,+
Chem168_8,+
Chem168_9,+
Chem169_0,+
Chem169_1,+
Chem169_10,+
Chem169_11,+
Chem169_12,+
Chem169_13,+
Chem169_14,+
Chem169_15,+
Chem169_16,+
Chem169_17,+
Chem169_18,+
Chem169_19,+
Chem169_2,+
Chem169_20,+
Chem169_3,+
Chem169_4,+
Chem169_5,+
Chem169_6,+
Chem169_7,+
Chem169_8,+
Chem169_9,+
Chem16_0,+
Chem16_1,+
Chem16_2,+
Chem16_3,+
Chem16_4,+
Chem170_0,-
Chem170_1,-
Chem170_10,-
Chem170_11,-
Chem170_12,-
Chem170_2,-
Chem170_3,-
Chem170_4,-
Chem170_5,-
Chem170_6,-
Chem170_7,-
Chem170_8,-
Chem170_9,-
Chem171_0,+
Chem171_1,+
Chem171_2,+
Chem171_3,+
Chem171_4,+
Chem172_0,-
Chem172_1,-
Chem172_2,-
Chem172_3,-
Chem172_4,-
